作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
060357,新浦島,しんうらしま,しんうらしま,,,RIP VAN WINKLE. EINE NACHGELASSENE SCHRIFT VON DIETRICH KNICKERBOCKER.,「少年園　第二巻　第十三号」1889（明治22）年5月3日<br>「少年園　第二巻　第十四号」1889（明治22）年5月18日<br>「少年園　第二巻　第十五号」1889（明治22）年6月3日<br>「少年園　第二巻　第十六号」1889（明治22）年6月18日<br>「少年園　第二巻　第十七号」1889（明治22）年7月3日<br>「少年園　第二巻　第十八号」1889（明治22）年7月18日<br>「少年園　第二巻　第二十号」1889（明治22）年8月18日,NDC K933,新字旧仮名,なし,2022-07-09,2022-06-26,https://www.aozora.gr.jp/cards/001257/card60357.html,001257,アーヴィング,ワシントン,アーヴィング,ワシントン,ああういんく,わしんとん,Irving,Washington,著者,1783-04-03,1859-11-28,なし,鴎外選集　第16巻,岩波書店,1980（昭和55）年2月22日,1980（昭和55）年6月30日第2刷,1980（昭和55）年2月22日第1刷,,,,,,,,,,,,砂場清隆,岡村和彦,https://www.aozora.gr.jp/cards/001257/files/60357_ruby_75861.zip,2022-06-26,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001257/files/60357_75896.html,2022-06-26,ShiftJIS,JIS X 0208,0
057978,少年少女におくる言葉,しょうねんしょうじょにおくることば,しようねんしようしよにおくることは,,,,「少年少女新潟日報」1952（昭和27）年1月13日,NDC K914,旧字旧仮名,なし,2017-07-01,2017-06-25,https://www.aozora.gr.jp/cards/001245/card57978.html,001245,会津,八一,あいづ,やいち,あいつ,やいち,Aizu,Yaichi,著者,1881-08-01,1956-11-21,なし,會津八一全集　第七卷,中央公論社,1982（昭和57）年4月25日,1982（昭和57）年4月25日初版,1982（昭和57）年4月25日初版,會津八一全集　第六卷,中央公論社,1968（昭和43）年,,,,,,,,,フクポー,鴨川佳一郎,https://www.aozora.gr.jp/cards/001245/files/57978_txt_61951.zip,2017-06-13,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001245/files/57978_61952.html,2017-06-13,ShiftJIS,JIS X 0208,0
053182,三人の百姓,さんにんのひゃくしょう,さんにんのひやくしよう,,,,「婦人公論」1920（大正9）年6月,NDC K913,新字新仮名,なし,2013-01-01,2016-01-17,https://www.aozora.gr.jp/cards/001584/card53182.html,001584,秋田,雨雀,あきた,うじゃく,あきた,うしやく,Akita,Ujyaku,著者,1883-01-30,1962-05-12,なし,日本児童文学名作集（下）,岩波文庫、岩波書店,1994（平成6）年3月16日,2001（平成13）年5月7日第12刷,2000（平成12）年2月25日第10刷,太陽と花園,精華書院,1921（大正10）年,,,,,,,,,門田裕志,Juki,https://www.aozora.gr.jp/cards/001584/files/53182_ruby_49658.zip,2016-01-17,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html,2016-01-17,ShiftJIS,JIS X 0208,1
000015,アグニの神,アグニのかみ,あくにのかみ,,,,「赤い鳥」1921（大正10）年1、2月,NDC K913,新字旧仮名,なし,1998-12-11,2014-09-17,https://www.aozora.gr.jp/cards/000879/card15.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/15_ruby_904.zip,2004-02-09,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/15_14583.html,2004-02-09,ShiftJIS,JIS X 0208,0
043014,アグニの神,アグニのかみ,あくにのかみ,,,,「赤い鳥」1921（大正10）年1月、2月,NDC K913,新字新仮名,なし,2005-02-06,2014-09-18,https://www.aozora.gr.jp/cards/000879/card43014.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷,,,,,,,,,,,,蒋龍,noriko saito,https://www.aozora.gr.jp/cards/000879/files/43014_ruby_17392.zip,2005-01-07,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43014_17430.html,2005-01-07,ShiftJIS,JIS X 0208,0
000056,犬と笛,いぬとふえ,いぬとふえ,,,,「赤い鳥」1919（大正8）年1、2月,NDC K913,新字新仮名,なし,1998-12-07,2014-09-17,https://www.aozora.gr.jp/cards/000879/card56.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集2,ちくま文庫、筑摩書房,1986（昭和61）年10月28日,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/56_ruby_845.zip,2004-03-15,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/56_15161.html,2004-03-15,ShiftJIS,JIS X 0208,0
000092,蜘蛛の糸,くものいと,くものいと,,,,「赤い鳥」1918（大正7）年7月,NDC K913,新字新仮名,なし,1997-11-10,2014-09-17,https://www.aozora.gr.jp/cards/000879/card92.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集2,ちくま文庫、筑摩書房,1986（昭和61）年10月28日,1996（平成8）年7月15日第11刷,,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～11月,,,,,,,,,野口英司、平山誠,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/92_ruby_164.zip,2011-01-28,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000879/files/92_14545.html,2011-01-28,ShiftJIS,JIS X 0208,2
000149,白,しろ,しろ,,,,「女性改造」1923（大正12）年8月,NDC K913,新字新仮名,なし,1999-03-01,2014-09-17,https://www.aozora.gr.jp/cards/000879/card149.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集5,ちくま文庫、筑摩書房,1987（昭和62）年2月24日,1995（平成7）年4月10日第6刷,,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/149_ruby_1581.zip,2012-03-22,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000879/files/149_15204.html,2012-03-22,ShiftJIS,JIS X 0208,1
000170,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字旧仮名,なし,1998-05-20,2014-09-17,https://www.aozora.gr.jp/cards/000879/card170.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,野口英司,https://www.aozora.gr.jp/cards/000879/files/170_ruby_348.zip,2004-03-12,ShiftJIS,JIS X 0208,6,https://www.aozora.gr.jp/cards/000879/files/170_15144.html,2004-03-12,ShiftJIS,JIS X 0208,0
043015,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字新仮名,なし,2005-02-07,2014-09-18,https://www.aozora.gr.jp/cards/000879/card43015.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷,,,,,,,,,,,,蒋龍,noriko saito,https://www.aozora.gr.jp/cards/000879/files/43015_ruby_17393.zip,2013-10-29,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/43015_17432.html,2013-10-29,ShiftJIS,JIS X 0208,2
